t,u,v,x,y,z,r,num_contours,threshold
4974.384784698486,91,340,-9.12421875,-4.166666666666666,20.0,58.47,1,
5007.607936859131,89,350,-9.203906250000001,-4.583333333333333,20.0,58.21,1,
5040.501832962036,87,354,-9.283593750000001,-4.75,20.0,57.97,1,
5074.2340087890625,86,352,-9.3234375,-4.666666666666666,20.0,58.31,2,
5106.749773025513,87,348,-9.283593750000001,-4.5,20.0,58.52,1,
5139.635801315308,89,344,-9.203906250000001,-4.333333333333333,20.0,58.19,1,
5171.065092086792,92,338,-9.084375000000001,-4.083333333333333,20.0,57.88,1,
5206.815958023071,94,330,-9.004687500000001,-3.75,20.0,57.94,1,
5239.7050857543945,97,322,-8.885156250000001,-3.4166666666666665,20.0,57.85,1,
5274.348974227905,103,317,-8.64609375,-3.208333333333333,20.0,57.23,1,
5305.418968200684,110,311,-8.3671875,-2.958333333333333,20.0,56.33,2,
5339.12992477417,119,301,-8.008593750000001,-2.5416666666666665,20.0,55.5,2,
5371.823787689209,133,292,-7.45078125,-2.1666666666666665,20.0,54.31,2,
5405.407905578613,153,285,-6.65390625,-1.875,20.0,52.54,2,
5437.076807022095,174,274,-5.8171875,-1.4166666666666665,20.0,50.69,2,
5470.698833465576,196,262,-4.940625000000001,-0.9166666666666666,20.0,48.94,3,
5503.870964050293,222,251,-3.9046875000000005,-0.4583333333333333,20.0,47.06,4,
5537.559986114502,248,240,-2.8687500000000004,0.0,20.0,45.11,4,
5570.926904678345,272,225,-1.9125,0.625,20.0,43.33,4,
5601.928949356079,293,207,-1.0757812500000001,1.375,20.0,42.13,4,
5634.9780559539795,317,191,-0.11953125,2.0416666666666665,20.0,41.29,5,
5670.480728149414,343,177,0.9164062500000001,2.625,20.0,40.59,4,
5700.685024261475,365,166,1.7929687500000002,3.083333333333333,20.0,39.74,5,
5734.962940216064,385,153,2.5898437500000004,3.625,20.0,39.32,4,
5769.234895706177,404,143,3.3468750000000003,4.041666666666666,20.0,39.23,4,
5801.451921463013,420,136,3.9843750000000004,4.333333333333333,20.0,39.23,5,
5833.956003189087,431,132,4.42265625,4.5,20.0,38.95,2,
5868.369817733765,437,129,4.66171875,4.625,20.0,38.71,3,
5900.374889373779,439,126,4.741406250000001,4.75,20.0,38.67,3,
5932.760000228882,435,122,4.582031250000001,4.916666666666666,20.0,38.54,5,
5966.801881790161,424,116,4.143750000000001,5.166666666666666,20.0,38.31,4,
6032.850742340088,416,112,3.825,5.333333333333333,20.0,38.52,4,
6067.099809646606,413,112,3.7054687500000005,5.333333333333333,20.0,39.08,4,
6101.289987564087,408,114,3.5062500000000005,5.25,20.0,39.35,5,
6133.847951889038,398,118,3.1078125000000005,5.083333333333333,20.0,39.24,4,
6167.134761810303,389,123,2.7492187500000003,4.875,20.0,39.63,5,
6199.449062347412,381,132,2.43046875,4.5,20.0,40.05,6,
6230.069875717163,369,145,1.9523437500000003,3.958333333333333,20.0,40.3,5,
6262.82000541687,353,161,1.31484375,3.2916666666666665,20.0,40.59,6,
6296.601057052612,339,179,0.75703125,2.5416666666666665,20.0,41.08,5,
6329.2200565338135,324,198,0.15937500000000002,1.75,20.0,41.79,3,
6361.707925796509,301,213,-0.75703125,1.125,20.0,42.35,3,
6395.787000656128,275,224,-1.7929687500000002,0.6666666666666666,20.0,43.3,4,
6428.031921386719,250,235,-2.7890625000000004,0.20833333333333331,20.0,44.84,4,
6461.026906967163,225,244,-3.7851562500000004,-0.16666666666666666,20.0,46.48,5,
6494.767665863037,198,252,-4.8609375,-0.5,20.0,48.46,3,
6526.555776596069,172,260,-5.8968750000000005,-0.8333333333333333,20.0,50.83,2,
6558.3038330078125,147,272,-6.8929687500000005,-1.3333333333333333,20.0,53.44,2,
6593.06788444519,119,287,-8.008593750000001,-1.9583333333333333,20.0,55.62,2,
6625.144004821777,85,300,-9.363281250000002,-2.5,20.0,57.62,2,
6657.916784286499,55,313,-10.558593750000002,-3.0416666666666665,20.0,59.11,2,
6692.540884017944,43,329,-11.03671875,-3.708333333333333,20.0,55.18,4,
6724.347829818726,38,350,-11.2359375,-4.583333333333333,20.0,52.85,6,
6757.828712463379,39,373,-11.196093750000001,-5.541666666666666,20.0,53.88,3,
6790.919780731201,39,385,-11.196093750000001,-6.041666666666666,20.0,53.61,2,
6824.084997177124,38,388,-11.2359375,-6.166666666666666,20.0,53.07,2,
6857.21492767334,41,390,-11.11640625,-6.25,20.0,54.79,2,
6892.076015472412,46,390,-10.9171875,-6.25,20.0,57.31,3,
6923.175811767578,50,385,-10.757812500000002,-6.041666666666666,20.0,58.9,3,
6954.637050628662,53,380,-10.63828125,-5.833333333333333,20.0,60.09,3,
6987.524032592773,56,377,-10.51875,-5.708333333333333,20.0,60.88,3,
7020.247936248779,58,375,-10.4390625,-5.625,20.0,61.03,4,
7053.758859634399,57,372,-10.478906250000001,-5.5,20.0,60.64,3,
7087.486982345581,57,370,-10.478906250000001,-5.416666666666666,20.0,60.59,2,
7118.375778198242,60,369,-10.359375000000002,-5.375,20.0,60.8,3,
7153.007745742798,65,368,-10.160156250000002,-5.333333333333333,20.0,60.97,3,
7186.031818389893,70,365,-9.960937500000002,-5.208333333333333,20.0,60.57,3,
7219.207763671875,74,361,-9.801562500000001,-5.041666666666666,20.0,60.31,2,
7253.148794174194,80,357,-9.562500000000002,-4.875,20.0,59.9,2,
7287.194728851318,86,354,-9.3234375,-4.75,20.0,59.31,2,
