t,u,v,r,num_contours,threshold
6722.898244857788,249,235,37.82,7,85.0
6755.820035934448,250,232,37.72,5,85.0
6789.387226104736,251,230,37.67,7,85.0
6822.327136993408,252,227,37.65,7,85.0
6855.471134185791,254,225,37.68,6,85.0
6888.538122177124,255,222,37.78,7,85.0
6921.175241470337,255,219,37.8,8,85.0
6953.371286392212,252,217,38.0,6,85.0
6987.626075744629,251,215,38.17,9,85.0
7021.445274353027,249,215,38.25,8,85.0
7054.293155670166,247,214,38.23,7,85.0
7088.163137435913,244,213,38.39,10,85.0
7119.224071502686,243,213,38.48,9,85.0
7152.420282363892,243,212,38.51,10,85.0
7186.118364334106,241,211,38.65,9,85.0
7250.790357589722,241,210,38.77,13,86.0
7284.173250198364,239,209,38.89,14,86.0
7318.016052246094,238,208,38.98,9,86.0
7349.804162979126,237,208,39.15,11,86.0
7382.599353790283,237,209,39.17,13,86.0
7415.899276733398,237,210,39.19,10,85.0
7449.500322341919,235,209,39.26,11,86.0
7482.365131378174,233,209,39.32,11,86.0
7516.4690017700195,232,208,39.37,13,86.0
7547.298192977905,233,208,39.45,13,86.0
7580.50012588501,234,209,39.41,12,86.0
7613.785266876221,235,210,39.36,14,85.0
7647.086143493652,237,211,39.35,14,85.0
7679.546117782593,238,212,39.3,11,85.0
7713.8831615448,239,212,39.25,11,85.0
7745.394229888916,238,211,39.24,9,85.0
7778.208017349243,235,210,39.45,12,86.0
7811.80214881897,234,211,39.55,12,86.0
7844.736099243164,232,211,39.53,11,86.0
7878.221273422241,229,211,39.73,9,86.0
7913.201332092285,227,212,39.84,8,86.0
7943.995237350464,226,213,39.9,10,86.0
7976.031064987183,223,214,39.94,11,86.0
8008.070230484009,219,214,40.07,10,86.0
8041.8150424957275,216,215,40.18,10,86.0
8076.005220413208,214,216,40.36,9,86.0
8109.701156616211,213,217,40.43,9,86.0
8142.047166824341,211,217,40.41,8,86.0
8174.894094467163,210,215,40.53,9,86.0
8208.965301513672,207,212,40.72,5,86.0
8242.990255355835,205,210,40.97,9,86.0
8273.467302322388,206,211,41.08,7,86.0
8307.687282562256,206,214,41.08,10,86.0
8339.755058288574,205,214,41.07,8,86.0
8373.32010269165,201,214,41.18,10,86.0
8405.996084213257,199,215,41.26,8,86.0
8439.38422203064,198,215,41.39,9,86.0
8476.035118103027,197,215,41.49,10,86.0
8503.03316116333,196,216,41.5,8,86.0
8537.533044815063,196,216,41.59,10,86.0
8570.078134536743,195,216,41.7,9,86.0
8603.031158447266,193,216,41.73,9,85.0
8636.608123779297,192,217,41.71,10,85.0
8669.551134109497,190,217,41.77,9,85.0
8703.77516746521,189,217,41.91,8,85.0
8735.804319381714,188,217,41.94,8,85.0
8768.954277038574,188,217,41.91,8,85.0
8801.890134811401,187,217,42.02,8,85.0
8836.057186126709,186,218,42.01,12,85.0
8869.460105895996,186,219,42.04,8,85.0
8935.09316444397,187,220,42.08,7,86.0
8966.821193695068,187,223,42.1,5,86.0
9000.270128250122,187,224,41.98,9,86.0
