t,u,v,r,num_contours,threshold
9560.830116271973,187,214,50.92,8,90
9593.577146530151,188,215,50.92,9,90
9626.535177230835,188,215,50.87,6,91
9659.68632698059,188,215,50.89,7,91
9693.665027618408,187,215,50.95,10,92
9725.484132766724,187,214,51.02,11,92
9759.968996047974,186,214,51.05,8,92
9792.786359786987,186,214,51.1,11,93
9824.942111968994,187,214,51.04,9,93
9858.181238174438,188,214,50.97,8,94
9891.68906211853,187,214,51.01,10,94
9924.001216888428,188,214,51.01,8,94
9957.427978515625,189,215,50.86,10,95
9989.28427696228,189,214,50.89,10,95
10022.810220718384,189,214,51.0,12,95
10054.692268371582,189,214,51.05,10,96
10087.581157684326,189,214,50.96,8,96
10121.94013595581,189,215,50.96,11,97
10155.349016189575,190,215,50.89,13,97
10187.984228134155,191,216,50.8,11,97
10220.531940460205,191,216,50.82,9,98
10254.144191741943,191,216,50.86,13,98
10288.115978240967,191,216,50.79,10,99
10320.08409500122,190,216,50.87,8,99
10352.468967437744,190,215,50.99,12,99
10419.296026229858,189,215,50.96,8,100
10451.191186904907,189,214,51.13,8,101
10484.538078308105,189,214,51.08,9,101
10518.00012588501,189,215,51.01,11,101
10550.876140594482,190,215,51.03,11,102
10583.781242370605,190,214,51.07,10,102
10617.536067962646,190,215,51.09,12,103
10650.837182998657,191,215,50.96,9,103
10684.019327163696,191,215,50.93,10,103
10717.562198638916,191,215,50.97,7,104
10748.41332435608,192,215,50.98,7,104
10780.744314193726,192,215,51.05,7,105
10814.508199691772,192,215,50.98,8,105
10846.190214157104,192,215,50.98,10,105
10878.889083862305,192,215,50.96,8,106
10912.252187728882,191,214,50.97,11,106
10945.281028747559,191,214,51.06,6,107
10978.503227233887,191,214,51.06,9,107
11011.258125305176,191,214,51.1,8,107
11044.16823387146,190,214,51.18,9,108
11077.207088470459,190,213,51.26,10,108
11111.00435256958,190,213,51.28,6,109
11143.681049346924,190,213,51.23,9,109
11177.163124084473,189,213,51.25,10,109
11210.472345352173,189,213,51.29,9,110
11243.398189544678,189,213,51.27,11,110
11276.894330978394,189,213,51.3,13,111
11310.364246368408,189,213,51.3,10,111
11343.021154403687,189,213,51.26,10,111
11376.99031829834,189,213,51.27,8,112
11409.106254577637,188,212,51.37,14,112
11442.129135131836,187,211,51.47,12,113
11475.427150726318,186,211,51.46,12,113
11508.311033248901,185,211,51.55,10,113
11539.842128753662,186,211,51.54,11,114
11573.710203170776,186,211,51.58,16,114
11605.736255645752,187,211,51.54,12,114
11639.74404335022,189,212,51.46,22,115
11673.103094100952,190,213,51.28,25,115
11706.9833278656,190,212,51.36,25,116
11738.710165023804,189,211,51.57,24,116
11771.58522605896,188,211,51.58,28,116
11805.015087127686,188,211,51.52,40,117
11837.954044342041,187,211,51.51,38,117
11870.90516090393,187,211,51.67,36,118
11905.348062515259,188,211,51.54,47,118
11936.392307281494,188,211,51.52,46,118
11971.192121505737,187,211,51.56,57,119
12003.138065338135,186,211,51.55,62,119
12035.747051239014,186,211,51.6,64,120
12068.268060684204,187,212,51.55,63,120
12135.630130767822,188,212,51.49,68,120
12170.250177383423,189,213,51.47,87,121
12202.621936798096,189,213,51.4,85,122
12235.239267349243,189,213,51.36,103,122
12268.086194992065,189,212,51.42,97,122
12300.780057907104,188,212,51.53,126,123
12336.54808998108,188,212,51.58,144,123
12368.000030517578,565,436,58.14,147,124
12402.215242385864,565,437,58.59,165,124
12432.290077209473,568,436,58.27,170,124
12464.790105819702,558,433,66.19,147,125
12497.93815612793,561,433,66.42,162,125
12530.476093292236,559,430,69.89,169,126
12564.250230789185,556,429,70.91,181,126
12597.55802154541,556,431,70.24,172,126
12630.5410861969,553,429,72.72,173,127
12664.153099060059,548,431,72.75,171,127
12697.139978408813,547,428,77.78,187,128
12730.287075042725,548,425,78.45,186,128
12762.713193893433,545,427,78.51,182,128
12796.691179275513,539,422,86.67,221,129
12829.31923866272,442,428,97.04,210,129
12862.428188323975,425,426,106.95,250,130
12895.29013633728,430,426,105.46,208,130
12929.018259048462,429,426,105.56,226,130
12961.125135421753,410,421,120.12,262,131
12991.412162780762,413,421,118.43,242,131
13024.25217628479,407,419,123.91,237,132
13057.510137557983,406,419,124.18,253,132
13090.901136398315,409,419,123.09,264,132
13124.938011169434,409,415,127.88,262,133
13157.490253448486,408,416,126.68,263,133
13190.859079360962,412,415,127.27,262,133
13223.928213119507,403,414,130.67,324,134
13257.362365722656,404,414,130.07,294,134
13290.518045425415,404,408,137.9,237,135
13324.441194534302,407,408,137.98,288,135
13356.470108032227,405,408,137.35,266,135
13390.940189361572,400,405,143.64,275,136
13423.072099685669,399,405,143.68,289,136
13456.993103027344,369,381,159.58,301,137
13488.98720741272,371,382,160.02,290,137
13522.471189498901,371,382,159.37,303,137
13556.13899230957,367,380,166.35,338,138
13587.889194488525,365,380,167.24,284,138
13621.150255203247,360,379,172.72,333,139
13654.805183410645,362,379,171.46,317,139
13687.265157699585,363,379,173.29,305,139
13721.987247467041,359,377,177.56,376,140
13753.989219665527,361,377,176.74,439,140
13820.932149887085,345,373,189.01,319,141
13854.146242141724,344,373,189.18,346,141
13885.847091674805,337,371,195.38,274,142
13918.893098831177,338,371,196.5,252,142
13952.805280685425,334,369,200.36,232,143
13985.485076904297,335,368,200.02,244,143
14019.458055496216,335,369,200.27,258,143
14052.350044250488,332,366,204.89,222,144
14081.526041030884,333,365,205.45,205,144
14115.495204925537,333,363,209.38,225,145
14148.272275924683,332,363,209.66,243,145
14181.04338645935,333,363,209.16,207,145
14214.694261550903,331,360,213.55,219,146
14247.596025466919,329,359,213.84,243,146
14281.005144119263,329,356,217.76,275,147
14313.754081726074,329,356,217.54,283,147
14347.254037857056,328,357,216.73,303,147
14379.74238395691,325,353,220.34,266,148
14412.848234176636,326,354,220.28,223,148
14445.870161056519,325,350,224.55,247,149
14479.014158248901,328,350,224.63,239,149
14512.035131454468,328,350,224.71,229,149
14545.798301696777,327,345,229.5,216,150
14578.426122665405,328,345,229.36,200,150
14611.433029174805,329,337,237.32,200,151
14644.11211013794,328,337,237.23,195,151
14677.000284194946,329,337,237.22,175,151
14710.131168365479,328,334,240.23,176,152
14743.813276290894,327,334,240.35,176,152
14775.261163711548,329,332,242.64,194,153
14809.122085571289,328,332,242.46,192,153
14841.996192932129,328,331,242.74,181,153
14875.39005279541,329,330,243.92,219,154
14908.377170562744,328,330,244.27,219,154
14941.399097442627,328,327,247.18,204,155
14973.92201423645,328,327,246.84,227,155
15007.22622871399,328,327,246.94,223,155
15038.154125213623,327,325,248.46,207,156
15070.243120193481,327,326,247.86,211,156
15103.732109069824,327,326,248.3,227,156
15137.447357177734,329,322,251.45,210,157
15170.186042785645,329,322,250.86,214,157
15203.628063201904,330,318,254.6,214,158
15235.872030258179,330,318,254.44,219,158
15269.075393676758,331,318,254.18,204,158
15302.608251571655,332,312,258.24,243,159
15338.42420578003,334,312,258.4,229,159
15368.817329406738,338,304,263.66,261,160
15402.830123901367,337,303,264.45,243,160
15436.484098434448,338,304,263.83,255,160
15501.51515007019,341,298,267.34,242,161
15534.986019134521,339,296,268.84,287,162
15569.958209991455,340,297,268.59,383,162
15602.838039398193,339,296,268.87,322,162
15635.903120040894,337,286,276.95,205,163
15666.115045547485,338,286,276.6,189,163
15701.672315597534,337,282,279.69,202,164
15732.556104660034,335,281,280.97,222,164
15766.523122787476,335,281,280.3,244,164
15798.628091812134,334,276,284.44,217,165
15831.520080566406,333,276,284.97,207,165
15864.985227584839,331,267,291.41,245,166
15897.536039352417,332,267,291.4,236,166
15931.36715888977,331,267,291.71,275,166
15963.7770652771,328,260,296.76,271,167
15996.998310089111,330,262,295.43,283,167
16030.319213867188,327,254,301.4,258,168
16063.141107559204,325,253,301.97,261,168
16096.113204956055,328,256,300.26,274,168
16129.464149475098,324,251,303.37,284,169
16163.852214813232,324,252,302.33,322,169
16195.447206497192,322,247,306.49,223,170
16227.667331695557,322,246,306.73,206,170
16260.708093643188,322,247,306.43,229,170
16293.646097183228,322,245,307.57,209,171
16327.274084091187,321,245,308.05,203,171
16360.388278961182,320,241,310.86,184,172
16392.8861618042,320,242,310.19,165,172
16426.337003707886,320,240,311.07,168,172
16458.972215652466,319,239,311.88,137,173
16492.19822883606,319,240,311.31,148,173
16523.619174957275,319,239,311.95,81,174
16556.878089904785,319,239,311.85,93,174
16590.229988098145,319,239,311.82,84,174
16623.960256576538,319,239,311.84,89,175
16655.869245529175,319,239,312.01,87,175
16689.388036727905,319,239,312.01,83,175
16721.82822227478,319,239,312.01,82,176
16755.37109375,319,239,312.01,87,176
16788.132190704346,319,239,312.05,70,177
16821.49314880371,319,239,312.05,72,177
16854.528188705444,319,239,312.05,82,177
16886.84320449829,319,239,312.06,51,178
16920.100212097168,319,239,312.06,71,178
16953.712224960327,319,239,312.07,53,179
16985.960245132446,319,239,312.06,54,179
17018.824338912964,319,239,312.06,53,179
17054.37421798706,319,239,312.07,35,180
17085.683345794678,319,239,312.07,36,180
17118.175983428955,319,239,312.07,29,181
17182.061195373535,319,239,312.08,23,181
17214.603185653687,319,239,312.08,14,182
17248.022079467773,319,239,312.08,16,182
17281.050205230713,319,239,312.09,19,183
17313.930988311768,319,239,312.09,12,183
17347.140073776245,319,239,312.09,20,183
17380.8650970459,319,239,312.09,12,184
17413.52915763855,319,239,312.09,15,184
17446.832180023193,319,239,312.09,10,185
17479.94112968445,319,239,312.09,10,185
17512.587070465088,319,239,312.09,8,185
17546.722173690796,319,239,312.09,7,186
17578.46236228943,319,239,312.09,7,186
17612.895965576172,319,239,312.09,5,187
17645.812034606934,319,239,312.09,5,187
17678.680181503296,319,239,312.09,5,187
17711.795330047607,319,239,312.09,4,188
17744.21215057373,319,239,312.09,8,188
17778.08117866516,319,239,312.09,5,189
17809.79299545288,319,239,312.08,7,189
17843.657970428467,319,239,312.09,5,189
17876.744270324707,319,239,312.09,4,190
17908.45513343811,319,239,312.09,2,190
17942.634105682373,319,239,312.1,4,191
17976.59707069397,319,239,312.1,4,191
18009.149312973022,319,239,312.09,3,191
18042.254209518433,319,239,312.09,5,192
18074.40996170044,319,239,312.09,3,192
18107.622146606445,319,239,312.09,4,193
18140.830278396606,319,239,312.09,4,193
18174.771308898926,319,239,312.09,4,193
18206.13932609558,319,239,312.1,5,194
18239.848375320435,319,239,312.09,5,194
18270.7200050354,319,239,312.09,5,195
18303.091287612915,319,239,312.1,4,195
18337.799310684204,319,239,312.09,4,195
18370.91040611267,319,239,312.09,4,196
18403.69415283203,319,239,312.09,5,196
18436.864137649536,319,239,312.1,5,196
18469.51127052307,319,239,312.09,3,197
18503.090143203735,319,239,312.09,4,197
18536.116123199463,319,239,312.1,6,198
18570.34921646118,319,239,312.1,5,198
18602.82611846924,319,239,312.1,5,198
18635.848999023438,319,239,312.1,5,199
18669.48103904724,319,239,312.1,5,199
18701.626300811768,319,239,312.1,5,200
18734.51805114746,319,239,312.1,6,200
18768.27907562256,319,239,312.1,5,200
18800.09126663208,319,239,312.1,4,201
18834.315061569214,319,239,312.1,5,201
18900.307178497314,319,239,312.1,5,202
18932.767152786255,319,239,312.1,7,202
18969.158172607422,319,239,312.1,5,203
18999.961137771606,319,239,312.1,4,203
19031.219244003296,319,239,312.1,6,204
19064.70823287964,319,239,312.1,5,204
19097.008228302002,319,239,312.1,5,204
19130.009174346924,319,239,312.1,6,205
19163.109302520752,319,239,312.1,5,205
19196.49624824524,319,239,312.1,7,206
19228.6593914032,319,239,312.1,5,206
19260.59126853943,319,239,312.1,6,206
19294.72517967224,319,239,312.1,6,207
19326.946020126343,319,239,312.1,5,207
19358.769178390503,319,239,312.1,5,208
19392.994165420532,319,239,312.1,5,208
19426.196098327637,319,239,312.1,5,208
19459.881067276,319,239,312.1,4,209
19492.88511276245,319,239,312.1,4,209
19525.94518661499,319,239,312.1,4,210
19559.76915359497,319,239,312.1,4,210
19593.33300590515,319,239,312.1,4,210
19626.058101654053,319,239,312.1,5,211
19659.176349639893,319,239,312.1,4,211
19691.071033477783,319,239,312.1,4,212
19724.254369735718,319,239,312.1,7,212
19758.000135421753,319,239,312.1,4,212
19791.422128677368,319,239,312.1,7,213
19823.840141296387,319,239,312.1,6,213
19857.17725753784,319,239,312.1,5,214
19889.725923538208,319,239,312.1,7,214
19922.673225402832,319,239,312.1,5,214
19955.507278442383,319,239,312.1,4,215
19989.781141281128,319,239,312.11,4,215
20021.990299224854,319,239,312.11,6,216
20055.031061172485,319,239,312.11,6,216
20086.960315704346,319,239,312.1,6,216
20120.310068130493,319,239,312.1,6,217
20153.125286102295,319,239,312.1,4,217
20186.891078948975,319,239,312.1,6,217
20218.76621246338,319,239,312.11,3,218
20252.496242523193,319,239,312.1,4,218
20285.986185073853,319,239,312.11,6,219
20318.93825531006,319,239,312.1,6,219
20351.675271987915,319,239,312.1,4,219
20384.62805747986,319,239,312.11,4,220
20417.842149734497,319,239,312.11,5,220
20451.25722885132,319,239,312.11,3,221
20483.164310455322,319,239,312.11,4,221
20517.263174057007,319,239,312.11,5,221
20583.56523513794,319,239,312.11,7,222
20617.46311187744,319,239,312.11,5,223
20648.677110671997,319,239,312.11,6,223
20682.3091506958,319,239,312.11,5,223
20714.343309402466,319,239,312.11,4,224
20747.310161590576,319,239,312.11,5,224
20780.39026260376,319,239,312.11,7,225
20815.269231796265,319,239,312.11,7,225
20845.587968826294,319,239,312.11,6,225
20880.24616241455,319,239,312.11,3,226
20910.611391067505,319,239,312.11,2,226
20943.78924369812,319,239,312.11,8,227
20978.008031845093,319,239,312.11,5,227
21010.967016220093,319,239,312.11,5,227
21043.596029281616,319,239,312.12,10,228
21078.3531665802,319,239,312.12,9,228
21110.344171524048,319,239,312.12,11,229
21143.47219467163,319,239,312.12,10,229
21177.08921432495,319,239,312.11,7,229
21210.51812171936,319,239,312.11,9,230
21242.557287216187,319,239,312.11,9,230
21276.02505683899,319,239,312.11,9,231
21306.61416053772,319,239,312.11,7,231
21339.919090270996,319,239,312.12,12,231
21373.987197875977,319,239,312.11,10,232
21405.96032142639,319,239,312.11,11,232
21439.3572807312,319,239,312.11,10,232
21472.490072250366,319,239,312.13,17,233
21505.596160888672,319,239,312.13,14,233
21538.54513168335,319,239,312.11,13,234
21571.791172027588,319,239,312.11,14,234
21605.40008544922,319,239,312.13,20,234
21637.935161590576,319,239,312.11,19,235
